Player,G,GS,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Cheick Diallo,17,0,199,36,76,0,0,36,76,15,21,23,50,73,4,4,7,7,17,87
Boris Diaw,73,33,1283,146,327,20,81,126,246,26,35,46,112,158,170,18,9,87,83,338
Gorgui Dieng,82,82,2653,332,661,16,43,316,618,136,167,188,459,647,158,88,95,107,254,816
Spencer Dinwiddie,59,18,1334,134,302,38,101,96,201,126,159,27,137,164,185,44,23,66,119,432
Toney Douglas,24,0,394,43,117,7,42,36,75,24,29,13,48,61,56,18,5,21,50,117
Goran Dragic,73,73,2459,534,1124,117,289,417,835,298,377,61,217,278,423,89,13,212,199,1483
Andre Drummond,81,81,2409,483,911,2,7,481,904,137,355,345,771,1116,89,124,89,152,237,1105
Jared Dudley,64,7,1362,157,346,77,203,80,143,43,65,31,194,225,121,42,16,72,154,434
Kris Dunn,78,7,1333,118,313,21,73,97,240,36,59,24,142,166,188,78,36,89,178,293
Kevin Durant,62,62,2070,551,1026,117,312,434,714,336,384,39,474,513,300,66,99,138,117,1555
Jarell Eddie,5,0,62,6,19,4,16,2,3,8,9,1,6,7,0,1,0,1,1,24
Henry Ellenson,19,2,146,23,64,10,35,13,29,4,8,8,33,41,7,1,1,14,6,60
Wayne Ellington,62,13,1500,231,555,149,394,82,161,37,43,18,115,133,70,35,4,30,70,648
Monta Ellis,74,33,1998,247,557,43,135,204,422,93,128,19,185,204,236,79,27,135,149,630
Joel Embiid,31,31,786,200,429,36,98,164,331,191,244,61,182,243,66,27,76,117,112,627
James Ennis,64,28,1501,146,321,51,137,95,184,86,110,69,190,259,64,46,19,59,165,429
Tyreke Evans,80,12,1576,300,740,84,236,216,504,138,184,26,248,274,248,70,18,122,120,822
Dante Exum,66,26,1228,155,363,44,149,111,214,58,73,30,102,132,112,21,12,80,146,412
Kenneth Faried,61,34,1296,228,416,0,6,228,410,131,189,182,279,461,55,43,40,58,124,587
Jordan Farmar,2,0,35,4,12,4,9,0,3,0,0,1,2,3,9,2,0,3,1,12
Derrick Favors,50,39,1186,203,417,3,10,200,407,67,109,92,213,305,56,45,40,60,103,476
Kay Felder,42,0,386,62,158,7,22,55,136,35,49,3,38,41,58,18,7,31,38,166
Cristiano Felicio,66,0,1040,128,222,0,0,128,222,60,93,124,187,311,40,25,16,33,110,316
Raymond Felton,80,11,1700,221,514,46,144,175,370,50,64,33,184,217,191,67,22,83,125,538
Dorian Finney-Smith,81,35,1642,124,333,56,191,68,142,46,61,55,166,221,67,52,25,45,125,350
Bryn Forbes,36,0,285,36,99,17,53,19,46,5,6,2,21,23,23,1,0,11,20,94
Evan Fournier,68,66,2234,408,930,128,360,280,570,223,277,44,165,209,202,66,4,141,180,1167
Randy Foye,69,40,1284,118,325,67,203,51,122,54,63,9,146,155,135,35,9,80,99,357
Tim Frazier,65,35,1525,163,404,40,128,123,276,98,129,34,139,173,335,56,6,101,133,464
Channing Frye,74,15,1398,238,520,137,335,101,185,63,74,37,253,290,45,33,37,53,138,676
Danilo Gallinari,63,63,2134,335,750,126,324,209,426,349,387,39,287,326,135,40,15,81,93,1145
